Source,Target,Type,Id,Label,timeset,Weight,relationship
svobodomiselni,nova24tv,Directed,57,,,1,Mentions
novicmarjana,nova24tv,Directed,58,,,1,Mentions
symru,urosesih,Directed,59,,,1,Mentions
bizjakju,neurovirtu,Directed,60,,,1,Mentions
eurovisionespan,naforue,Directed,61,,,1,Mentions
zigab,vladars,Directed,62,,,1,Mentions
zigab,mirocerar,Directed,63,,,1,Mentions
zigab,podimconference,Directed,64,,,1,Mentions
zigab,tadejslapnik,Directed,65,,,1,Mentions
ekipa24,nkolimpija,Directed,66,,,1,Mentions
zelenilka,prahneza,Directed,67,,,1,Mentions
bilgladen,ajpes,Directed,68,,,1,Mentions
rokzidanik,franc_bogovic,Directed,69,,,1,Mentions
rokzidanik,lojzepeterle,Directed,70,,,1,Mentions
rokzidanik,ep_slovenija,Directed,71,,,1,Mentions
rokzidanik,tfajon,Directed,72,,,1,Mentions
javniprevoz,svet24_si,Directed,73,,,1,Mentions
u2urbas,delo,Directed,74,,,1,Mentions
aylayeahh,bts_twt,Directed,75,,,1,Mentions
fiplv,tjagland,Directed,76,,,1,Mentions
fiplv,coe,Directed,77,,,1,Mentions
fiplv,vladars,Directed,78,,,1,Mentions
miro52,demokracija1,Directed,79,,,1,Mentions
miro52,jozebiscak,Directed,80,,,1,Mentions
ag_anton,nova24tv,Directed,81,,,1,Mentions
lidlslo,skoj_konferenca,Directed,82,,,1,Mentions
itavcarsds,jjansasds,Directed,83,,,1,Mentions
itavcarsds,matjadraksler,Directed,84,,,1,Mentions
mgermovsek,tjagland,Directed,85,,,1,Mentions
mgermovsek,coe,Directed,86,,,1,Mentions
mgermovsek,vladars,Directed,87,,,1,Mentions
tvslv,solidarnost_si,Directed,88,,,1,Mentions
tvslv,strankalevica,Directed,89,,,1,Mentions
tvslv,vinkovasle1,Directed,90,,,1,Mentions
vehar_a,slovenskavojska,Directed,91,,,1,Mentions
vehar_a,jjansasds,Directed,92,,,1,Mentions
uporabnastran,zidandejan,Directed,93,,,1,Mentions
elvi_daris,markobandelli,Directed,94,,,1,Mentions
sun_contract,unido,Directed,95,,,1,Mentions
sun_contract,tadejslapnik,Directed,96,,,1,Mentions
xxx24241454,nova24tv,Directed,97,,,1,Mentions
jangrilc,val202,Directed,98,,,1,Mentions
franctursic,nova24tv,Directed,99,,,1,Mentions
franctursic,slovenskavojska,Directed,100,,,1,Mentions
franctursic,jjansasds,Directed,101,,,1,Mentions
propiar,zdrmanager,Directed,102,,,1,Mentions
bojanastr,val202,Directed,103,,,1,Mentions
jozeleskovec,freewiseguy,Directed,104,,,1,Mentions
jozeleskovec,slovenskavojska,Directed,105,,,1,Mentions
jozeleskovec,jjansasds,Directed,106,,,1,Mentions
peterdax_marsky,val202,Directed,107,,,1,Mentions
bojannavodnik1,slovenskavojska,Directed,108,,,1,Mentions
bojannavodnik1,jjansasds,Directed,109,,,1,Mentions
jansobieski19,jjansasds,Directed,110,,,1,Mentions
mitjahumar,jjansasds,Directed,111,,,1,Mentions
sandi_markisic,markobandelli,Directed,112,,,2,Mentions
sandi_markisic,strankaab,Directed,113,,,1,Mentions
sandi_markisic,delo,Directed,114,,,1,Mentions
sandi_markisic,primorskid,Directed,115,,,1,Mentions
sandi_markisic,primorskenovice,Directed,116,,,1,Mentions
sandi_markisic,svet_kanala,Directed,117,,,1,Mentions
sandi_markisic,24ur_com,Directed,118,,,1,Mentions
sandi_markisic,rtv_slovenija,Directed,119,,,1,Mentions
sandi_markisic,rtvslo,Directed,120,,,1,Mentions
sandi_markisic,berry20275000,Directed,121,,,1,Mentions
pertinacal,ijoveva,Directed,122,,,1,Mentions
gospodjob,vmro_dpmne,Directed,123,,,1,Mentions
gospodjob,mickoskihm,Directed,124,,,1,Mentions
gospodjob,edendenmkd,Directed,125,,,1,Mentions
realcryptoyoda,unido,Directed,126,,,1,Mentions
realcryptoyoda,tadejslapnik,Directed,127,,,1,Mentions
editbystudio,youtube,Directed,128,,,1,Mentions
dragopirec,medeja_7,Directed,129,,,1,Mentions
dragopirec,mojcav1,Directed,130,,,1,Mentions
barbarajavornik,jjansasds,Directed,131,,,1,Mentions
pandicamuss,jjansasds,Directed,132,,,1,Mentions
sloposum,jjansasds,Directed,133,,,1,Mentions
bizjakselma,jjansasds,Directed,134,,,1,Mentions
nimivseeno,jjansasds,Directed,135,,,1,Mentions
andrejcus,dr_olaj,Directed,136,,,1,Mentions
andrejcus,revijareporter,Directed,137,,,1,Mentions
soniatrulli80,libbera16,Directed,138,,,1,Mentions
evairgll,jjansasds,Directed,139,,,1,Mentions
evairgll,nova24tv,Directed,140,,,1,Mentions
jkmcnk,pengovsky,Directed,141,,,1,Mentions
ljkucic,podcrto,Directed,142,,,1,Mentions
mmtvit,sinicica,Directed,143,,,1,Mentions
jozespiljak,sinicica,Directed,144,,,1,Mentions
martinavuk,sinicica,Directed,145,,,1,Mentions
dialogos_si,pengovsky,Directed,146,,,1,Mentions
vrtowc,demokracija1,Directed,147,,,1,Mentions
novistarimost,jaka_ivancic,Directed,148,,,1,Mentions
martastimec,podcrto,Directed,149,,,1,Mentions
bigjoc2011,isoltesep,Directed,150,,,1,Mentions
bigjoc2011,zidandejan,Directed,151,,,1,Mentions
bigjoc2011,franc_bogovic,Directed,152,,,1,Mentions
bigjoc2011,lojzepeterle,Directed,153,,,1,Mentions
bigjoc2011,ep_slovenija,Directed,154,,,1,Mentions
jelka_godec,jjansasds,Directed,155,,,1,Mentions
janko35349864,m_bostjan,Directed,156,,,1,Mentions
1535priman,jjansasds,Directed,157,,,1,Mentions
1535priman,strankasds,Directed,158,,,1,Mentions
1535priman,zvonecadez,Directed,159,,,1,Mentions
jozesket68,1535priman,Directed,160,,,1,Mentions
jozesket68,rosvitap,Directed,161,,,1,Mentions
janezkunc,zdruzenadesnica,Directed,162,,,1,Mentions
janezkunc,metkazevnik,Directed,163,,,1,Mentions
drvinkogorenak,jjansasds,Directed,164,,,1,Mentions
drvinkogorenak,revijareporter,Directed,165,,,1,Mentions
drvinkogorenak,nova24tv,Directed,166,,,1,Mentions
markolisec,revijareporter,Directed,167,,,1,Mentions
cashkee,dialogos_si,Directed,168,,,1,Mentions
cashkee,simon_skrba,Directed,169,,,1,Mentions
mprtenja,lculiberg,Directed,170,,,1,Mentions
zaslovenijo2,simon_skrba,Directed,171,,,1,Mentions
tedniktvs,felicity_aston,Directed,172,,,1,Mentions
modickristina,felicity_aston,Directed,173,,,1,Mentions
northpole2018,dc43,Directed,174,,,1,Mentions
tedniktvs,dc43,Directed,175,,,1,Mentions
modickristina,dc43,Directed,176,,,1,Mentions
northpole2018,tedniktvs,Directed,177,,,1,Mentions
tedniktvs,rtv_slovenija,Directed,178,,,1,Mentions
tedniktvs,northpole2018,Directed,179,,,1,Mentions
modickristina,tedniktvs,Directed,180,,,1,Mentions
northpole2018,rtv_slovenija,Directed,181,,,1,Mentions
modickristina,northpole2018,Directed,182,,,1,Mentions
modickristina,rtv_slovenija,Directed,183,,,1,Mentions
dlenarcic,lijenihinko,Directed,184,,,1,Mentions
dlenarcic,vtarczay,Directed,185,,,1,Mentions
zagovornik,portalspolsi,Directed,186,,,1,Mentions
katarina1402,jjansasds,Directed,187,,,1,Mentions
katarina1402,strankasds,Directed,188,,,1,Mentions
vidmarpeter,agencija101,Directed,189,,,1,Mentions
travenklemen,strankasds,Directed,190,,,1,Mentions
travenklemen,francidonko,Directed,191,,,1,Mentions
janja1366,jjansasds,Directed,192,,,1,Mentions
ykobaz,freewiseguy,Directed,193,,,1,Mentions
ykobaz,ales_primc,Directed,194,,,1,Mentions
kunalnishad7,feelgrid,Directed,195,,,1,Mentions
kristina_iskra,demokracija1,Directed,196,,,1,Mentions
igorprodanovic,strankasds,Directed,197,,,1,Mentions
igorprodanovic,mojcaskrinjar,Directed,198,,,2,Mentions
anjajankovich,mirocerar,Directed,199,,,1,Mentions
anjajankovich,vladars,Directed,200,,,1,Mentions
anjajankovich,jasnamurgel,Directed,201,,,1,Mentions
pablostrukelj,stolnica,Directed,202,,,1,Mentions
samoglavan,nova24tv,Directed,203,,,2,Mentions
sdmlju,nova24tv,Directed,204,,,3,Mentions
vontanzberg,had,Directed,205,,,1,Mentions
vontanzberg,jan_gerben,Directed,206,,,1,Mentions
ciro_ciril,strankasloga,Directed,207,,,2,Mentions
ciro_ciril,siolnews,Directed,208,,,1,Mentions
vogrinzeljko,nova24tv,Directed,209,,,1,Mentions
vogrinzeljko,ales_primc,Directed,210,,,1,Mentions
umilos,nevaulcar,Directed,211,,,1,Mentions
_megwhite_,portalspolsi,Directed,212,,,1,Mentions
mojcabxl,vecer,Directed,213,,,1,Mentions
mojcabxl,e,Directed,214,,,1,Mentions
mojcabxl,ecinslovenia,Directed,215,,,2,Mentions
mojcabxl,stakrog,Directed,216,,,2,Mentions
mojcabxl,ep_slovenija,Directed,217,,,1,Mentions
strankanls,revijareporter,Directed,218,,,1,Mentions
strankanls,nova24tv,Directed,219,,,1,Mentions
strankanls,ales_primc,Directed,220,,,1,Mentions
kdanijel,jjansasds,Directed,221,,,1,Mentions
breki74,artgotar,Directed,222,,,1,Mentions
breki74,posta_slovenije,Directed,223,,,1,Mentions
breki74,vanfranco,Directed,224,,,1,Mentions
breki74,pklepec,Directed,225,,,1,Mentions
pklepec,posta_slovenije,Directed,226,,,1,Mentions
vanfranco,posta_slovenije,Directed,227,,,1,Mentions
darinkatrkov,posta_slovenije,Directed,228,,,1,Mentions
vanfranco,artgotar,Directed,229,,,1,Mentions
vanfranco,pklepec,Directed,230,,,1,Mentions
darinkatrkov,vanfranco,Directed,231,,,1,Mentions
pklepec,artgotar,Directed,232,,,1,Mentions
darinkatrkov,pklepec,Directed,233,,,1,Mentions
darinkatrkov,artgotar,Directed,234,,,1,Mentions
borutjereb,demokracija1,Directed,235,,,1,Mentions
istefan1975,jozebiscak,Directed,236,,,1,Mentions
lukatreven,anjakopacmrak,Directed,237,,,1,Mentions
ribictine,jjansasds,Directed,238,,,1,Mentions
ribictine,demokracija1,Directed,239,,,1,Mentions
spelapsenica,youtube,Directed,240,,,1,Mentions
kalisekmoni,zborzarepubliko,Directed,241,,,1,Mentions
kalisekmoni,radioognjisce,Directed,242,,,1,Mentions
sabinakovacic,slovenskavojska,Directed,243,,,1,Mentions
sabinakovacic,jjansasds,Directed,244,,,1,Mentions
nijeno,nova24tv,Directed,245,,,1,Mentions
vladokrstevski,nova24tv,Directed,246,,,2,Mentions
vladokrstevski,demokracija1,Directed,247,,,1,Mentions
vladokrstevski,jozebiscak,Directed,248,,,1,Mentions
starihalj,policija_si,Directed,249,,,1,Mentions
stoleneurope,revijareporter,Directed,250,,,2,Mentions
slocroposlovklb,e,Directed,251,,,1,Mentions
slocroposlovklb,turizemlj,Directed,252,,,1,Mentions
slocroposlovklb,tourism_slo,Directed,253,,,1,Mentions
slocroposlovklb,ecinslovenia,Directed,254,,,1,Mentions
slocroposlovklb,stakrog,Directed,255,,,1,Mentions
dbbonjovi,dnevnik_si,Directed,256,,,1,Mentions
petersuhel,jjansasds,Directed,257,,,2,Mentions
petersuhel,rtv_slovenija,Directed,258,,,1,Mentions
irenakafol,nova24tv,Directed,259,,,1,Mentions
irenakafol,vo,Directed,260,,,1,Mentions
irenakafol,rmandreja,Directed,261,,,1,Mentions
irenakafol,rtv_slovenija,Directed,262,,,1,Mentions
irenakafol,jjansasds,Directed,263,,,1,Mentions
delavska_zveza,jjansasds,Directed,264,,,2,Mentions
delavska_zveza,rtv_slovenija,Directed,265,,,1,Mentions
5ra75226708,rtv_slovenija,Directed,266,,,1,Mentions
5ra75226708,jjansasds,Directed,267,,,1,Mentions
tjana3573,jozebiscak,Directed,268,,,1,Mentions
zurnal24sport,matmohoric,Directed,269,,,1,Mentions
mitja_luksina,jjansasds,Directed,270,,,2,Mentions
mitja_luksina,rtv_slovenija,Directed,271,,,1,Mentions
prinasalkazlata,borseusek,Directed,272,,,1,Mentions
prinasalkazlata,rtv_slovenija,Directed,273,,,1,Mentions
prinasalkazlata,jjansasds,Directed,274,,,1,Mentions
tadejacerk,poptv,Directed,275,,,1,Mentions
miha_meho,poptv,Directed,276,,,1,Mentions
artgotar,jjansasds,Directed,277,,,1,Mentions
miha_meho,artgotar,Directed,278,,,1,Mentions
tadejacerk,vinkovasle1,Directed,279,,,1,Mentions
miha_meho,tadejacerk,Directed,280,,,1,Mentions
miha_meho,vinkovasle1,Directed,281,,,1,Mentions
miha_meho,vso_slovenija,Directed,282,,,1,Mentions
miha_meho,penzionist12,Directed,283,,,1,Mentions
miha_meho,rtv_slovenija,Directed,284,,,1,Mentions
miha_meho,jjansasds,Directed,285,,,1,Mentions
pikapoka_jelen,stanejagergmaio,Directed,286,,,1,Mentions
pikapoka_jelen,tatjanak1,Directed,287,,,1,Mentions
pikapoka_jelen,demokracija1,Directed,288,,,1,Mentions
pikapoka_jelen,igorkrsinar,Directed,289,,,1,Mentions
pikapoka_jelen,romanleljak,Directed,290,,,1,Mentions
pikapoka_jelen,revijareporter,Directed,291,,,1,Mentions
pikapoka_jelen,matevztomsic,Directed,292,,,1,Mentions
pikapoka_jelen,24ur_com,Directed,293,,,1,Mentions
pikapoka_jelen,nova24tv,Directed,294,,,1,Mentions
pikapoka_jelen,fzagorc,Directed,295,,,1,Mentions
pikapoka_jelen,ales_primc,Directed,296,,,1,Mentions
pikapoka_jelen,jozebiscak,Directed,297,,,1,Mentions
cvetko66,jozebiscak,Directed,298,,,1,Mentions
cvetko66,rtv_slovenija,Directed,299,,,1,Mentions
cvetko66,jjansasds,Directed,300,,,1,Mentions
tslokar,ipirkovic,Directed,301,,,1,Mentions
brencenejc,rtv_slovenija,Directed,302,,,1,Mentions
brencenejc,jjansasds,Directed,303,,,1,Mentions
vpgrz,unido,Directed,304,,,1,Mentions
vpgrz,tadejslapnik,Directed,305,,,1,Mentions
branka25153603,rtv_slovenija,Directed,306,,,1,Mentions
branka25153603,polona_naglic,Directed,307,,,1,Mentions
vesterrrr,demokracija1,Directed,308,,,1,Mentions
vesterrrr,nova24tv,Directed,309,,,3,Mentions
vesterrrr,jjansasds,Directed,310,,,2,Mentions
vesterrrr,kovacrebeka,Directed,311,,,1,Mentions
vesterrrr,rtv_slovenija,Directed,312,,,1,Mentions
aleks81837212,rtv_slovenija,Directed,313,,,1,Mentions
aleks81837212,jjansasds,Directed,314,,,2,Mentions
tjasaz,rtv_slovenija,Directed,315,,,1,Mentions
tjasaz,jjansasds,Directed,316,,,1,Mentions
vidlibnik,siolnews,Directed,317,,,1,Mentions
trsinarzdenko,igorkrsinar,Directed,318,,,1,Mentions
trsinarzdenko,romanleljak,Directed,319,,,1,Mentions
trsinarzdenko,revijareporter,Directed,320,,,1,Mentions
trsinarzdenko,demokracija1,Directed,321,,,1,Mentions
benjaminnatanja,rtv_slovenija,Directed,322,,,1,Mentions
benjaminnatanja,jjansasds,Directed,323,,,1,Mentions
benjaminnatanja,nova24tv,Directed,324,,,1,Mentions
alenkavidic,sinicica,Directed,325,,,1,Mentions
alenkavidic,a1slovenija,Directed,326,,,1,Mentions
alenkavidic,skoj_konferenca,Directed,327,,,1,Mentions
alfonskracek,penzionist12,Directed,328,,,1,Mentions
alfonskracek,rtv_slovenija,Directed,329,,,1,Mentions
alfonskracek,jjansasds,Directed,330,,,1,Mentions
alfonskracek,demokracija1,Directed,331,,,1,Mentions
kajzermeta,jjansasds,Directed,332,,,2,Mentions
kajzermeta,rtv_slovenija,Directed,333,,,1,Mentions
crico111,vso_slovenija,Directed,334,,,1,Mentions
vojkoplevel,crtica49,Directed,335,,,1,Mentions
skoj_konferenca,sinicica,Directed,336,,,1,Mentions
skoj_konferenca,a1slovenija,Directed,337,,,1,Mentions
zahrusko,a1slovenija,Directed,338,,,1,Mentions
dolencm33,rtv_slovenija,Directed,339,,,1,Mentions
dolencm33,jjansasds,Directed,340,,,1,Mentions
milenkoziherl1,isoltesep,Directed,341,,,1,Mentions
milenkoziherl1,zidandejan,Directed,342,,,1,Mentions
milenkoziherl1,franc_bogovic,Directed,343,,,1,Mentions
milenkoziherl1,lojzepeterle,Directed,344,,,1,Mentions
milenkoziherl1,ep_slovenija,Directed,345,,,1,Mentions
matejhribarr,nova24tv,Directed,346,,,3,Mentions
matejhribarr,rtv_slovenija,Directed,347,,,1,Mentions
matejhribarr,jjansasds,Directed,348,,,1,Mentions
tomazlisec,jjansasds,Directed,349,,,1,Mentions
srecniluka,ipirkovic,Directed,350,,,1,Mentions
sgsonjasg,nova24tv,Directed,351,,,1,Mentions
sgsonjasg,tatjanak1,Directed,352,,,1,Mentions
sgsonjasg,dominikasvarc,Directed,353,,,1,Mentions
sgsonjasg,urosjausevec,Directed,354,,,1,Mentions
sgsonjasg,tomltoml,Directed,355,,,1,Mentions
sgsonjasg,mojcav1,Directed,356,,,1,Mentions
sgsonjasg,stanejagergmaio,Directed,357,,,1,Mentions
sgsonjasg,rtv_slovenija,Directed,358,,,1,Mentions
sgsonjasg,stojanpovh,Directed,359,,,1,Mentions
47citizen,nova24tv,Directed,360,,,3,Mentions
47citizen,rtv_slovenija,Directed,361,,,1,Mentions
47citizen,jjansasds,Directed,362,,,1,Mentions
cvetastepanjan,medeja_7,Directed,363,,,1,Mentions
cvetastepanjan,rtv_slovenija,Directed,364,,,1,Mentions
cvetastepanjan,jjansasds,Directed,365,,,1,Mentions
cvetastepanjan,demokracija1,Directed,366,,,1,Mentions
cvetastepanjan,nova24tv,Directed,367,,,1,Mentions
franchimelrajh,rtv_slovenija,Directed,368,,,1,Mentions
franchimelrajh,jjansasds,Directed,369,,,1,Mentions
franchimelrajh,dominikasvarc,Directed,370,,,1,Mentions
franchimelrajh,urosjausevec,Directed,371,,,1,Mentions
franchimelrajh,tomltoml,Directed,372,,,1,Mentions
franchimelrajh,dkopse,Directed,373,,,1,Mentions
maxatnes,rtv_slovenija,Directed,374,,,1,Mentions
maxatnes,jjansasds,Directed,375,,,1,Mentions
radioognjisce,karitas,Directed,376,,,1,Mentions
lenci53,tvodmevi,Directed,377,,,1,Mentions
lenci53,rtv_slovenija,Directed,378,,,1,Mentions
dolinasmc,podimconference,Directed,379,,,1,Mentions
dolinasmc,vladars,Directed,380,,,1,Mentions
dolinasmc,strankasmc,Directed,381,,,1,Mentions
igorpribac,mirocerar,Directed,382,,,1,Mentions
igorpribac,strankasmc,Directed,383,,,1,Mentions
mazzi68,rtv_slovenija,Directed,384,,,1,Mentions
mazzi68,jjansasds,Directed,385,,,1,Mentions
slovenskivitez,slovenskavojska,Directed,386,,,1,Mentions
slovenskivitez,jjansasds,Directed,387,,,1,Mentions
slovenskivitez,revijareporter,Directed,388,,,1,Mentions
kocuvanlidija,nova24tv,Directed,389,,,1,Mentions
damjan13864862,rtv_slovenija,Directed,390,,,1,Mentions
damjan13864862,jjansasds,Directed,391,,,1,Mentions
tfajon,franc_bogovic,Directed,392,,,1,Mentions
tfajon,lojzepeterle,Directed,393,,,1,Mentions
tfajon,ep_slovenija,Directed,394,,,1,Mentions
franc_bogovic,tfajon,Directed,395,,,1,Mentions
franc_bogovic,fr,Directed,396,,,1,Mentions
jzazlok,rtv_slovenija,Directed,397,,,1,Mentions
jzazlok,jjansasds,Directed,398,,,1,Mentions
surfon,vremenolovec,Directed,399,,,1,Mentions
sandravrhovac1,24ur_com,Directed,400,,,1,Mentions
ladeja68,franc_bogovic,Directed,401,,,1,Mentions
provektor,rtv_slovenija,Directed,402,,,1,Mentions
provektor,jjansasds,Directed,403,,,1,Mentions
provektor,demokracija1,Directed,404,,,1,Mentions
tim_felle,rtv_slovenija,Directed,405,,,1,Mentions
tim_felle,jjansasds,Directed,406,,,1,Mentions
brankogrims1,rtv_slovenija,Directed,407,,,1,Mentions
brankogrims1,jjansasds,Directed,408,,,2,Mentions
brankogrims1,demokracija1,Directed,409,,,1,Mentions
brankogrims1,slovenskavojska,Directed,410,,,1,Mentions
brankogrims1,solidarnost_si,Directed,411,,,1,Mentions
brankogrims1,strankalevica,Directed,412,,,1,Mentions
brankogrims1,vinkovasle1,Directed,413,,,1,Mentions
organizacijasdm,rtv_slovenija,Directed,414,,,1,Mentions
organizacijasdm,jjansasds,Directed,415,,,2,Mentions
organizacijasdm,slovenskavojska,Directed,416,,,1,Mentions
vojkozabjek,mladiforum,Directed,417,,,1,Mentions
vajkard,demokracija1,Directed,418,,,1,Mentions
vajkard,solidarnost_si,Directed,419,,,1,Mentions
vajkard,strankalevica,Directed,420,,,1,Mentions
vajkard,vinkovasle1,Directed,421,,,1,Mentions
vajkard,nova24tv,Directed,422,,,1,Mentions
kanglerfranc,mojcav1,Directed,423,,,1,Mentions
kanglerfranc,nova24tv,Directed,424,,,1,Mentions
kanglerfranc,ales_primc,Directed,425,,,1,Mentions
markovombergar,slovenskavojska,Directed,426,,,1,Mentions
markovombergar,jjansasds,Directed,427,,,1,Mentions
janez_novak,nova24tv,Directed,428,,,1,Mentions
janez_novak,rtv_slovenija,Directed,429,,,1,Mentions
janez_novak,jjansasds,Directed,430,,,1,Mentions
qwatebriga,rtv_slovenija,Directed,431,,,1,Mentions
qwatebriga,jjansasds,Directed,432,,,1,Mentions
milanzver,rtv_slovenija,Directed,433,,,1,Mentions
milanzver,jjansasds,Directed,434,,,2,Mentions
cirilvelikooko,milanzver,Directed,435,,,1,Mentions
cirilvelikooko,rtv_slovenija,Directed,436,,,1,Mentions
ivanblatnik,rtv_slovenija,Directed,437,,,1,Mentions
ivanblatnik,jjansasds,Directed,438,,,1,Mentions
thezaurus_,izak_kosir,Directed,439,,,1,Mentions
thezaurus_,delo,Directed,440,,,1,Mentions
thezaurus_,startupslovenia,Directed,441,,,1,Mentions
thezaurus_,podimconference,Directed,442,,,1,Mentions
thezaurus_,mirocerar,Directed,443,,,1,Mentions
mhvdmi2,vo,Directed,444,,,1,Mentions
mhvdmi2,rmandreja,Directed,445,,,1,Mentions
mhvdmi2,stolnica,Directed,446,,,1,Mentions
andrazh,slovenskavojska,Directed,447,,,1,Mentions
andrazh,jjansasds,Directed,448,,,2,Mentions
andrazh,rtv_slovenija,Directed,449,,,1,Mentions
janez_mezan,jjansasds,Directed,450,,,1,Mentions
janez_mezan,demokracija1,Directed,451,,,1,Mentions
igorzavrsnik,janez_mezan,Directed,452,,,1,Mentions
fzagorc,janez_mezan,Directed,453,,,1,Mentions
martina15120109,demokracija1,Directed,454,,,1,Mentions
martina15120109,revijareporter,Directed,455,,,1,Mentions
komar4442,cikibucka,Directed,456,,,1,Mentions
komar4442,altpaulin,Directed,457,,,1,Mentions
karitas46622347,katoliskacerkev,Directed,458,,,1,Mentions
adujmovicanne,igorkrsinar,Directed,459,,,1,Mentions
adujmovicanne,romanleljak,Directed,460,,,1,Mentions
adujmovicanne,revijareporter,Directed,461,,,1,Mentions
orbitatomy,jjansasds,Directed,462,,,1,Mentions
orbitatomy,nova24tv,Directed,463,,,2,Mentions
stojanpovh,rtv_slovenija,Directed,464,,,2,Mentions
stojanpovh,jjansasds,Directed,465,,,1,Mentions
stojanpovh,mojcaskrinjar,Directed,466,,,1,Mentions
birolen1e,nova24tv,Directed,467,,,2,Mentions
berry20275000,primorskid,Directed,468,,,1,Mentions
markobandelli,primorskid,Directed,469,,,1,Mentions
kovacrebeka,primorskid,Directed,470,,,1,Mentions
berry20275000,primorskenovice,Directed,471,,,1,Mentions
markobandelli,primorskenovice,Directed,472,,,1,Mentions
kovacrebeka,primorskenovice,Directed,473,,,1,Mentions
berry20275000,svet_kanala,Directed,474,,,1,Mentions
markobandelli,svet_kanala,Directed,475,,,1,Mentions
kovacrebeka,svet_kanala,Directed,476,,,1,Mentions
berry20275000,markobandelli,Directed,477,,,2,Mentions
markobandelli,strankaab,Directed,478,,,1,Mentions
markobandelli,delo,Directed,479,,,1,Mentions
markobandelli,24ur_com,Directed,480,,,1,Mentions
markobandelli,rtv_slovenija,Directed,481,,,1,Mentions
markobandelli,rtvslo,Directed,482,,,1,Mentions
markobandelli,berry20275000,Directed,483,,,1,Mentions
kovacrebeka,markobandelli,Directed,484,,,1,Mentions
svet24_si,strankasd,Directed,485,,,1,Mentions
yronladi,revijareporter,Directed,486,,,3,Mentions
yronladi,jjansasds,Directed,487,,,2,Mentions
yronladi,jozebiscak,Directed,488,,,1,Mentions
yronladi,rtv_slovenija,Directed,489,,,1,Mentions
yronladi,igorkrsinar,Directed,490,,,1,Mentions
yronladi,romanleljak,Directed,491,,,1,Mentions
yronladi,altpaulin,Directed,492,,,2,Mentions
yronladi,nova24tv,Directed,493,,,2,Mentions
drustvohudajama,m_bostjan,Directed,494,,,1,Mentions
